Respondent_ID,City,Age_Bracket,Monthly_Income,Fair_Price_Bundle,Avg_Spend_Order,Orders_Per_Week,Weekly_Workouts,Dietary_Style,Drink_Preference,Favourite_Flavours,Spirits_Enjoyed,Likely_Try_30_Days
1a2a73ed-562b-4f79-8374-59eef50bea63,Pune,25-34,118447,1000,1004,3,7,Vegan,Cocktails,Spicy,Vodka,Yes
5be6128e-18c2-4797-a142-ea7d17be3111,Chennai,55+,55161,1200,912,1,1,Low-carb,Mocktails,Fruity,"Vodka, Tequila",Yes
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Pune,45-54,53080,1200,867,5,7,High-protein,Cocktails,"Spicy, Fruity",None,Yes
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Hyderabad,45-54,86213,800,1144,1,0,Keto,Both,"Fruity, Spicy",Gin,Maybe
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Delhi,45-54,49050,1000,1036,2,1,Keto,Both,Fruity,"Tequila, Vodka, None",No
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Delhi,25-34,78269,1100,1046,2,6,Low-carb,Mocktails,"Fruity, Herbal","Whiskey, Rum",Yes
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Pune,55+,111752,1100,879,2,4,High-protein,Mocktails,"Smoky, Fruity, Citrusy","Vodka, None",Maybe
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Chennai,55+,45635,800,1291,5,1,High-protein,Mocktails,"Fruity, Spicy, Herbal",Tequila,Yes
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Chennai,18-24,106183,800,1014,5,5,Balanced,Mocktails,"Citrusy, Spicy, Herbal","Gin, Rum",Yes
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Mumbai,18-24,85068,1200,1088,1,1,Vegan,Mocktails,"Citrusy, Spicy, Herbal",Gin,Yes
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Delhi,45-54,96200,1000,1113,5,0,Vegan,Cocktails,"Fruity, Spicy, Herbal",Vodka,Maybe
7412b293-4729-4739-a14f-f3d719db3ad0,Delhi,35-44,61930,1200,907,3,3,Balanced,Both,"Citrusy, Fruity",None,Yes
29a3b2e9-5d65-4441-9588-42dea2bc372f,Bangalore,18-24,25464,1000,1194,2,4,High-protein,Both,"Smoky, Herbal","Vodka, None, Tequila",No
ab9099a4-35a2-40ae-9af3-05535ec42e08,Pune,25-34,96511,800,1227,3,2,Keto,Mocktails,Citrusy,"Vodka, Rum",Yes
aefcfad8-efc8-4849-b3aa-7efe4458a885,Delhi,18-24,71357,1200,1252,4,2,High-protein,Mocktails,Herbal,Gin,Maybe
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Bangalore,45-54,112806,900,936,2,1,Keto,Mocktails,"Spicy, Smoky","Rum, None",No
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Delhi,25-34,28101,900,1004,3,4,Low-carb,Cocktails,"Smoky, Herbal","Tequila, Rum, Vodka",Yes
451b4cf3-6123-4df7-b656-af7229d4beef,Bangalore,25-34,101099,1000,819,1,6,Balanced,Both,"Herbal, Fruity","Tequila, Gin",Yes
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Pune,45-54,25221,1200,1273,5,3,Balanced,Cocktails,Citrusy,"Rum, Vodka, None",Maybe
5304317f-af42-412f-b838-b3268e944239,Pune,45-54,67753,1100,1156,3,2,High-protein,Cocktails,"Herbal, Spicy, Citrusy","Rum, Whiskey, Vodka",Yes
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Delhi,45-54,101019,1200,1135,3,7,Keto,Cocktails,"Spicy, Herbal, Citrusy",None,Yes
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Chennai,55+,68933,800,1219,2,4,High-protein,Mocktails,Fruity,Gin,No
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Chennai,18-24,84692,1100,1253,5,3,Keto,Cocktails,"Spicy, Smoky","None, Vodka, Tequila",Maybe
9132b63e-f162-47e4-a9c3-49e03602f8ac,Delhi,25-34,116214,1200,1037,1,3,Low-carb,Cocktails,Herbal,"Tequila, None, Rum",No
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Hyderabad,55+,119276,1200,1018,5,7,High-protein,Both,"Herbal, Citrusy",None,Yes
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Chennai,45-54,107149,900,940,4,1,Balanced,Mocktails,"Citrusy, Smoky","Vodka, Gin, Tequila",Yes
24933b83-7577-40a9-a491-f0b2ea1fca65,Pune,25-34,117591,900,832,4,6,Balanced,Both,"Herbal, Fruity",Whiskey,Yes
beb79919-3f22-4af8-a3be-d01d43cf2fde,Chennai,18-24,100456,1100,1044,1,5,Balanced,Cocktails,"Smoky, Spicy","Gin, Rum",Yes
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Mumbai,45-54,69057,1100,1170,2,7,High-protein,Both,"Fruity, Herbal, Citrusy","None, Vodka, Tequila",Maybe
956269f0-e5d7-4875-adad-d6c795a76d79,Delhi,45-54,48819,800,933,4,5,High-protein,Cocktails,"Citrusy, Herbal","Whiskey, Rum",No
ff50bde4-3825-47b8-9cab-cc97663f1c97,Hyderabad,18-24,95702,800,1287,3,3,Low-carb,Both,Fruity,Gin,No
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Chennai,25-34,56266,900,1042,1,3,Keto,Both,"Citrusy, Spicy","Tequila, Vodka, Gin",No
dc713d96-0c0f-4195-817a-f08a1745d6d8,Mumbai,55+,28365,1000,1094,4,6,High-protein,Mocktails,"Spicy, Fruity, Citrusy","None, Tequila",No
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Chennai,18-24,70508,1200,1019,3,1,Vegan,Both,"Fruity, Herbal","Vodka, Whiskey",No
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Pune,45-54,117708,900,1022,2,4,Vegan,Both,"Herbal, Smoky","Tequila, Rum, None",No
988c24c9-61b1-4d22-a280-1c4510435a10,Mumbai,35-44,84087,900,1184,4,6,Balanced,Mocktails,"Citrusy, Spicy","Gin, Rum",Maybe
405cacec-8774-49a9-b7d2-1e02ff01cf99,Bangalore,35-44,103139,1000,1084,1,3,Low-carb,Mocktails,"Herbal, Smoky, Citrusy",None,Yes
f143262f-dc5c-4eed-8da0-365bf89897b9,Pune,45-54,83743,800,847,3,3,Keto,Both,Citrusy,"Tequila, Rum, Whiskey",Maybe
1d53434b-b881-49b9-ae27-0da702f06b90,Bangalore,45-54,97140,1000,980,4,4,Balanced,Cocktails,Fruity,"Gin, Rum, Vodka",Maybe
c0398710-8976-4334-a281-7efdae849217,Pune,25-34,50105,900,1178,4,4,Vegan,Both,"Citrusy, Fruity, Herbal","Gin, Rum",Yes
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Mumbai,55+,41591,1000,823,1,4,High-protein,Both,"Fruity, Smoky","Rum, Whiskey, Tequila",Yes
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Delhi,18-24,58092,1100,858,1,6,Keto,Mocktails,"Fruity, Spicy, Smoky","Rum, Vodka, Gin",Yes
b8db0672-f42d-47cc-80d4-af5974273ca3,Hyderabad,55+,103135,1200,915,5,6,Keto,Cocktails,"Smoky, Herbal","Tequila, None",Yes
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Pune,18-24,52235,900,935,1,2,High-protein,Mocktails,"Fruity, Spicy, Smoky","Whiskey, Tequila",Yes
81f76d1c-2dbc-4134-830f-f46e8026695f,Mumbai,25-34,62762,1000,1159,4,1,High-protein,Cocktails,"Smoky, Spicy, Herbal",Tequila,Yes
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Delhi,35-44,43643,800,830,2,4,Vegan,Both,"Citrusy, Herbal, Fruity","None, Rum",Maybe
81f631d4-a392-41a7-9777-a4774c66e0a8,Bangalore,55+,95776,1100,1024,1,0,Keto,Both,"Smoky, Citrusy",Vodka,Yes
5fb8d16c-2720-497d-b2eb-d6899be578c7,Pune,55+,101955,800,1191,3,0,High-protein,Cocktails,"Herbal, Citrusy, Fruity","Whiskey, None, Vodka",Yes
f4188f3f-8a14-4e62-a95b-4715c333e861,Hyderabad,35-44,67081,800,1239,2,5,Keto,Both,"Citrusy, Herbal","Vodka, Whiskey, None",Yes
eb2263dd-87c5-421e-ac24-a3c5c754108f,Bangalore,18-24,77976,1200,1222,1,7,Keto,Mocktails,Smoky,"Tequila, Whiskey",Maybe
7d154385-52fb-443b-9954-6eb400257ad1,Mumbai,25-34,60003,1200,867,3,7,Keto,Mocktails,Smoky,None,Yes
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Chennai,18-24,97384,1100,847,2,1,Keto,Mocktails,"Spicy, Herbal, Citrusy","Tequila, Rum",Yes
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Hyderabad,45-54,56946,1100,1082,2,6,High-protein,Both,"Spicy, Fruity, Smoky","Rum, Tequila",Yes
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Mumbai,35-44,64132,1200,1096,4,2,Keto,Both,"Citrusy, Smoky","Tequila, Whiskey, None",No
14296c07-f26b-4776-913e-4de2e0c53cb8,Delhi,25-34,99946,1100,919,4,0,Balanced,Both,"Herbal, Smoky","None, Gin, Whiskey",No
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Delhi,55+,102356,1000,1245,1,7,Low-carb,Both,"Fruity, Spicy","None, Gin",Yes
885f6e66-c2b6-42c5-ba5d-310011b7e948,Bangalore,35-44,106691,1100,1132,1,5,Vegan,Cocktails,"Herbal, Fruity","Vodka, Gin, Rum",No
a8e56e0c-20de-435d-a031-d750c40db9b4,Pune,18-24,81881,800,1189,1,7,High-protein,Both,"Fruity, Smoky","Vodka, Rum",Yes
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Hyderabad,25-34,57007,1200,1010,5,2,High-protein,Mocktails,Smoky,"Tequila, Gin",Yes
9b49bd26-df57-459a-8715-a10343dac043,Chennai,25-34,55433,1100,1126,3,7,Balanced,Both,Herbal,"None, Tequila",Yes
edcd465e-3638-4821-b6e0-7cc06c52c49f,Hyderabad,35-44,102014,1000,1127,4,4,Keto,Cocktails,Herbal,"Vodka, Gin",Yes
b09b2a5c-badc-432a-8159-0f538a0f4efb,Bangalore,55+,63780,1000,811,4,4,Low-carb,Both,"Fruity, Herbal, Spicy",Tequila,No
66245bfa-4fcc-439a-b683-d2e6337ea2df,Delhi,25-34,106381,1000,1147,2,1,Low-carb,Cocktails,"Fruity, Citrusy","Gin, Vodka, Rum",Yes
5f987c71-a65e-488e-abf3-ad39fec21bbe,Hyderabad,25-34,51318,900,1202,5,5,Vegan,Both,"Spicy, Citrusy","Rum, None",No
7394988f-847f-49b4-a64d-1bcb702753a1,Hyderabad,18-24,43449,900,1240,4,5,Low-carb,Cocktails,Citrusy,"Vodka, Whiskey, Rum",Maybe
1064005c-3985-43cf-bf76-be1d1efa2197,Pune,35-44,101619,1100,1221,3,1,High-protein,Cocktails,Smoky,"Rum, Tequila, Gin",Maybe
8dcdcd03-969b-4662-8562-8059568cc69b,Pune,45-54,116891,1000,1132,4,1,High-protein,Mocktails,Citrusy,"Vodka, None",Yes
01d74256-3860-4ab6-96a4-02f23ae8cc93,Chennai,25-34,75940,1100,989,5,6,Vegan,Both,"Spicy, Herbal, Citrusy",Whiskey,Maybe
0f1259e0-a18f-46b6-b535-106e122c9a56,Bangalore,18-24,115476,1000,911,4,7,High-protein,Cocktails,Citrusy,"None, Rum, Vodka",Yes
080aadfb-e7c9-4b26-9141-25c63a9bedd4,Delhi,18-24,84600,800,1139,2,0,Low-carb,Cocktails,Spicy,"Gin, Vodka, None",Maybe
839fbc50-1223-4513-9496-f63cdc1110c1,Delhi,35-44,44340,1200,801,3,2,High-protein,Both,"Spicy, Fruity","Vodka, Gin, None",Yes
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Delhi,55+,67437,800,889,3,0,High-protein,Both,"Smoky, Fruity","Vodka, Whiskey, Tequila",Maybe
b92da22b-21df-406f-8a0b-3c3336d8393a,Chennai,55+,39293,1100,1057,2,0,Vegan,Cocktails,"Fruity, Smoky","Whiskey, None",Maybe
93829b43-922f-415a-a1e3-db63ef7ddc76,Hyderabad,45-54,34632,800,964,5,2,Low-carb,Mocktails,"Smoky, Citrusy","Tequila, None",Yes
7914c120-c8dc-419f-be35-11287900f7f9,Chennai,55+,81387,800,1206,1,3,Keto,Cocktails,Herbal,"Whiskey, None",Yes
1825bc54-30be-445f-a835-14f2ceb81f9d,Mumbai,35-44,80936,1000,1140,3,5,High-protein,Both,"Fruity, Smoky",Vodka,Yes
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Pune,35-44,42054,1200,830,5,5,Low-carb,Cocktails,"Herbal, Fruity","Tequila, Rum",Yes
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Chennai,55+,52884,900,1136,4,3,Low-carb,Cocktails,"Citrusy, Fruity, Spicy","Gin, Whiskey, Vodka",Maybe
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Pune,35-44,28794,900,939,3,5,Balanced,Mocktails,Spicy,"None, Whiskey, Vodka",Yes
0f844fef-1931-49ee-a56c-0941fbf24050,Pune,18-24,37026,1200,910,4,6,Keto,Cocktails,Citrusy,"None, Rum",Maybe
ccf3a171-56dc-4907-ba6c-34ab6712303a,Chennai,55+,36135,800,879,2,0,Low-carb,Cocktails,"Herbal, Smoky","Whiskey, None, Rum",Yes
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Chennai,18-24,70242,1100,856,3,7,Vegan,Both,"Fruity, Spicy","Tequila, Vodka",Yes
23e2fcb4-72d8-467d-894a-05e430b187ef,Bangalore,25-34,42987,1000,948,3,1,Low-carb,Cocktails,"Herbal, Spicy, Fruity","Tequila, Gin",Maybe
766ecb15-474e-4c19-aef9-12766c006f61,Pune,35-44,34447,1100,1241,1,6,Low-carb,Cocktails,Citrusy,"Whiskey, Tequila, None",Maybe
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Hyderabad,35-44,40096,1100,810,3,2,Vegan,Cocktails,"Citrusy, Fruity, Spicy",Gin,Yes
db20a56e-dc81-4fe7-8eda-8bbb71710434,Hyderabad,55+,35308,1100,1245,3,5,High-protein,Cocktails,Fruity,"None, Vodka, Gin",No
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Bangalore,35-44,109599,900,920,1,2,Balanced,Mocktails,Smoky,None,Yes
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Pune,45-54,85811,1200,1189,5,7,Vegan,Both,"Smoky, Citrusy, Herbal","Gin, Whiskey",Yes
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Hyderabad,35-44,61002,1200,828,3,1,Balanced,Cocktails,"Fruity, Smoky","Rum, Vodka",Maybe
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Mumbai,55+,102867,1200,996,4,0,Keto,Both,"Spicy, Citrusy, Herbal","Tequila, Gin",No
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Hyderabad,18-24,70015,800,1058,2,0,High-protein,Both,"Herbal, Spicy","Rum, None",Yes
2a25a888-0f02-4ad0-a706-7ef466aa9385,Bangalore,55+,31863,1000,833,3,1,Vegan,Both,"Citrusy, Smoky","None, Tequila, Gin",Yes
63f2ae24-fc3d-4348-808d-4127610461e3,Chennai,25-34,70851,1000,1295,4,2,Vegan,Both,Citrusy,"Whiskey, Rum, Gin",Maybe
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Pune,55+,37249,1100,1060,3,0,Balanced,Cocktails,Spicy,"Whiskey, Gin",Yes
b253d218-6c4a-47ea-8906-17f2747b6dba,Delhi,25-34,35114,1000,1232,1,0,Balanced,Both,Smoky,"Gin, None",Yes
c88a618e-fed4-457d-bb02-6576f512c4c3,Pune,55+,46697,1100,822,4,5,High-protein,Cocktails,"Citrusy, Herbal, Fruity","Gin, Rum, Whiskey",No
7c967f79-b7e9-4aca-a970-65e18e46d534,Delhi,35-44,113907,1200,1025,4,4,Keto,Both,"Herbal, Spicy, Fruity","Gin, Rum, Vodka",Maybe
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Bangalore,55+,38446,1200,1235,1,4,Low-carb,Mocktails,"Herbal, Spicy","Vodka, Gin",No
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Bangalore,18-24,79381,800,1002,5,5,High-protein,Cocktails,Citrusy,Vodka,Yes
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Mumbai,35-44,44142,900,819,3,7,High-protein,Both,"Herbal, Fruity",Vodka,Yes
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Delhi,55+,104807,1200,1016,1,4,High-protein,Cocktails,Fruity,Whiskey,Maybe
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Chennai,45-54,33232,800,1228,4,0,Vegan,Both,Spicy,"Whiskey, Vodka",Maybe
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Delhi,55+,79600,900,1140,1,5,Low-carb,Both,"Smoky, Fruity, Spicy","Vodka, Whiskey",No
118a9d29-2f92-4996-99f1-95d014822f53,Bangalore,18-24,71805,800,976,2,1,Vegan,Both,"Spicy, Fruity","Tequila, Rum",No
dca02eec-acda-4acc-9165-e21098543881,Delhi,45-54,116146,1100,1123,2,2,Low-carb,Both,"Fruity, Citrusy",Vodka,Maybe
f10c718b-1eb0-438a-a75d-d5af3c365296,Mumbai,35-44,65642,1200,1003,5,7,Balanced,Mocktails,"Spicy, Citrusy, Smoky",None,Yes
94340a03-3f07-4814-91d6-3f78e3e9de99,Mumbai,35-44,82272,1100,1180,4,6,Balanced,Mocktails,"Herbal, Citrusy","Rum, Vodka, Whiskey",Yes
14fcdd54-9e8f-4965-8a2c-827e98326856,Chennai,25-34,96496,1000,964,1,1,Balanced,Both,"Citrusy, Herbal","None, Whiskey, Gin",Maybe
90b2b633-956b-4c0c-a849-9b926b5252e3,Bangalore,45-54,30551,1000,1114,4,4,Low-carb,Mocktails,"Herbal, Citrusy, Smoky","None, Gin, Vodka",Yes
42c18a62-ef48-48d5-90fd-9d3f85d51695,Chennai,45-54,29561,900,834,2,5,Balanced,Cocktails,"Fruity, Spicy, Citrusy","Rum, None",Yes
506e5a9a-b758-488d-ab73-295b344a54b8,Mumbai,55+,43047,1200,987,4,5,Balanced,Mocktails,Fruity,"Gin, Whiskey, Tequila",No
21813d25-6552-48a6-83ff-50113d1a85dd,Mumbai,35-44,59116,1100,909,5,4,Keto,Mocktails,Spicy,Whiskey,Yes
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Pune,45-54,36506,1000,1141,3,1,Vegan,Both,"Citrusy, Spicy","None, Gin, Rum",Maybe
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Mumbai,25-34,43202,900,1204,4,0,Balanced,Both,"Citrusy, Herbal, Smoky",Tequila,No
9f044aed-7552-4327-8262-7f7312922f83,Mumbai,35-44,77187,1100,1069,4,6,Vegan,Mocktails,Citrusy,"Vodka, Whiskey, Tequila",Maybe
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Bangalore,25-34,97260,1200,893,2,6,Vegan,Mocktails,Smoky,Rum,Yes
8181a8cc-3691-47eb-89a2-688b12c136e0,Bangalore,25-34,70353,1200,1258,3,1,Balanced,Mocktails,"Smoky, Citrusy, Fruity","Rum, Tequila, Vodka",Maybe
5958a499-eeea-463e-a1e8-ac6843e42caf,Delhi,55+,101106,900,887,5,5,Vegan,Mocktails,Fruity,None,Maybe
3e896c64-e117-4ac3-919c-4ea3e1805081,Bangalore,25-34,99991,1100,1116,1,7,Vegan,Cocktails,"Citrusy, Herbal, Fruity","Whiskey, Rum, None",Yes
702cdd20-2862-48b8-88f4-ef125e9953d2,Mumbai,25-34,82619,1100,1047,4,3,Balanced,Both,Citrusy,"Rum, None, Whiskey",Yes
4d71c366-b41b-4143-8b10-550cd5704f32,Bangalore,55+,98616,800,963,2,7,Low-carb,Cocktails,"Spicy, Smoky",Vodka,Yes
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Hyderabad,55+,79805,900,1292,2,5,Vegan,Both,"Spicy, Smoky","Tequila, Whiskey",Yes
aaf91531-0200-41f0-8768-a84fa76afde6,Bangalore,45-54,28037,800,1283,4,7,High-protein,Mocktails,"Citrusy, Fruity, Herbal","Whiskey, Tequila",No
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Pune,45-54,62453,1200,804,1,6,High-protein,Cocktails,"Citrusy, Herbal, Spicy",Whiskey,Yes
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Chennai,25-34,72516,1200,947,1,6,Vegan,Cocktails,"Citrusy, Fruity, Herbal",Whiskey,Yes
e3c43657-1d8c-4bac-83b4-09ef2260e70f,Bangalore,55+,72920,900,901,5,6,Vegan,Mocktails,Fruity,None,Yes
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Hyderabad,55+,84898,900,1110,5,2,Balanced,Both,"Spicy, Herbal","None, Rum, Tequila",Maybe
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Chennai,55+,89205,1200,953,4,0,Balanced,Cocktails,"Fruity, Herbal, Citrusy","None, Vodka",Maybe
afffcfd2-341e-440b-97c7-00aab7b56ea7,Bangalore,55+,100711,900,1169,1,7,High-protein,Both,"Smoky, Herbal, Fruity","Gin, Vodka, Tequila",Yes
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Hyderabad,35-44,79890,900,1011,2,6,Vegan,Both,"Fruity, Spicy","Gin, Tequila, Rum",No
e87d1c78-e7c4-41c7-8049-7b717d106c60,Hyderabad,55+,74391,1000,1289,2,7,Vegan,Cocktails,"Citrusy, Smoky, Herbal","Gin, None",Yes
a2607723-17a0-4f49-8d01-280fd89a40c0,Bangalore,25-34,64008,1000,1160,2,7,Balanced,Cocktails,"Smoky, Citrusy","Vodka, Tequila",Maybe
0b49452d-46d4-43f3-9450-281c6c6f7633,Hyderabad,45-54,70237,900,948,1,4,Low-carb,Cocktails,"Citrusy, Herbal",Gin,No
217d65a0-c568-41cd-9563-f61600e85ece,Bangalore,55+,116248,1000,870,1,3,High-protein,Mocktails,"Smoky, Spicy, Citrusy",Vodka,Yes
295d6fbf-430f-401d-bad4-09e2a319dcb4,Bangalore,45-54,38178,900,802,5,2,Keto,Both,"Herbal, Spicy","Rum, None",Maybe
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Mumbai,55+,55437,1200,1178,1,2,Keto,Mocktails,Herbal,"Gin, Rum",No
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Mumbai,35-44,99443,1200,854,3,4,Keto,Both,"Smoky, Herbal, Fruity","Whiskey, Rum, Gin",No
b0e6a969-e213-42b0-b1ee-dba313432e61,Bangalore,25-34,85150,1000,1167,2,0,Balanced,Cocktails,"Spicy, Smoky, Citrusy","Whiskey, None, Rum",Yes
093923de-8bab-4e3b-a628-6bfbe767dcea,Pune,18-24,49219,900,1044,3,3,Low-carb,Cocktails,"Spicy, Herbal","Rum, None",Maybe
8d7248e2-951f-48d0-9e84-f058d5a804eb,Chennai,18-24,59282,1000,1154,2,0,Low-carb,Cocktails,"Spicy, Herbal","Tequila, Rum, Vodka",Maybe
0ab54bde-20a0-4502-ae06-809725e97977,Bangalore,35-44,105560,900,912,2,7,High-protein,Cocktails,"Smoky, Citrusy, Spicy","Tequila, Whiskey, Gin",Maybe
eededb07-e623-4689-9d59-cd2a4eea04e7,Pune,55+,35730,1200,1028,5,5,Low-carb,Both,Fruity,"Tequila, Gin, None",Yes
0a368ce7-dc57-4131-b8e1-daa7cbceabde,Chennai,45-54,40235,900,1167,5,7,Low-carb,Both,"Fruity, Herbal",Tequila,Yes
ae9bec36-35c7-436c-9b99-62c6e61fecc0,Chennai,18-24,98242,1100,1144,3,0,Keto,Cocktails,Spicy,"Vodka, None, Whiskey",Yes
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Mumbai,55+,32897,800,1278,4,0,Balanced,Cocktails,Spicy,"None, Whiskey, Rum",No
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Hyderabad,45-54,74479,1100,841,5,2,Balanced,Mocktails,Smoky,"Tequila, Gin",Maybe
bfddc3d9-9ee3-4c2a-b94d-62046808593f,Delhi,18-24,27979,1000,1037,5,6,Vegan,Cocktails,Spicy,"Rum, Gin",Yes
3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Pune,18-24,29222,1100,1114,1,3,High-protein,Mocktails,Smoky,Whiskey,Maybe
ccc56569-f9e8-4369-a999-b735dd56cc94,Pune,18-24,57077,800,1005,4,3,Vegan,Mocktails,Spicy,"Rum, Gin, None",Maybe
698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Pune,35-44,56051,1000,1248,2,3,Keto,Cocktails,"Fruity, Spicy","None, Whiskey, Tequila",Yes
ecab3301-bc8f-4d29-adea-94930658663a,Bangalore,45-54,93742,1000,1156,4,6,High-protein,Cocktails,"Spicy, Herbal",Gin,Yes
696608aa-ee49-4329-884a-7b28550a1b46,Pune,25-34,85689,800,1087,4,6,Vegan,Both,Herbal,Rum,Yes
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Pune,18-24,83954,1000,847,5,3,Low-carb,Cocktails,"Smoky, Fruity",Gin,No
28c13091-444d-410b-bf87-e362cf8d446a,Chennai,55+,53444,1100,906,3,4,Low-carb,Mocktails,Fruity,"Whiskey, Gin, Tequila",Yes
