Customer ID,Age,Gender,City,Income Bracket,Preferred Cuisines,Mocktail Preference,Cocktail Preference,Order Frequency,Satisfaction (1-5),Spend per Order,Repeat Order,Order Influence,Delivery Issues
40,42,Other,Mumbai,₹60k–80k,"Chinese, Indian",Virgin Mojito,Gin & Tonic,Occasionally,3,986.0,No,"Instagram, Friend Referral, Google Search","Late Delivery, Wrong Order"
41,31,Male,Mumbai,₹80k+,"Indian, Chinese, Mexican",Minty Lime,Whiskey Sour,Frequently,1,1319.0,Yes,"Instagram, Zomato",Late Delivery
42,26,Female,Mumbai,₹80k+,"Italian, Mexican, Chinese",Fruit Fizz,Rum Punch,Frequently,2,999.0,Yes,"Swiggy Ads, Instagram, Google Search",Wrong Order
43,43,Male,Chennai,₹40k–60k,"Thai, Indian",Spicy Guava,Rum Punch,Frequently,2,1162.0,Yes,"Zomato, Friend Referral","High Price, None"
44,19,Female,Mumbai,₹60k–80k,"Thai, Chinese, Continental",Spicy Guava,Rum Punch,Occasionally,4,877.0,Yes,"Google Search, Swiggy Ads, Instagram",Late Delivery
45,37,Other,Chennai,<₹20k,"Italian, Indian, Thai",Spicy Guava,Rum Punch,Occasionally,5,1143.0,No,Instagram,Small Portion
46,45,Other,Chennai,₹80k+,Italian,Fruit Fizz,Rum Punch,Frequently,2,890.0,Yes,Instagram,Late Delivery
47,24,Male,Mumbai,₹40k–60k,"Chinese, Italian",Spicy Guava,Margarita,Frequently,1,621.0,Yes,"Instagram, Swiggy Ads, Friend Referral","Late Delivery, High Price"
48,25,Female,Bangalore,₹60k–80k,"Chinese, Indian",Spicy Guava,Rum Punch,Rarely,1,998.0,No,Swiggy Ads,Wrong Order
49,52,Male,Hyderabad,₹60k–80k,"Mexican, Chinese",Minty Lime,Margarita,Rarely,5,906.0,Yes,Instagram,"None, High Price"
50,31,Male,Delhi,₹60k–80k,"Thai, Indian",Fruit Fizz,Gin & Tonic,Rarely,5,675.0,Yes,"Friend Referral, Zomato, Instagram","None, High Price"
51,34,Female,Chennai,₹60k–80k,Chinese,Virgin Mojito,Rum Punch,Frequently,4,1038.0,Yes,"Swiggy Ads, Google Search",Small Portion
52,53,Female,Hyderabad,₹60k–80k,"Chinese, Italian, Mexican",Minty Lime,Rum Punch,Frequently,3,821.0,Yes,Swiggy Ads,"Late Delivery, Small Portion"
53,57,Female,Bangalore,₹80k+,Mexican,Minty Lime,Whiskey Sour,Frequently,1,1500.0,Yes,Friend Referral,Small Portion
54,21,Other,Delhi,₹40k–60k,Chinese,Virgin Mojito,Gin & Tonic,Rarely,5,707.0,No,"Google Search, Zomato",Wrong Order
55,19,Male,Delhi,₹60k–80k,"Thai, Italian, Chinese",Minty Lime,Rum Punch,Occasionally,1,757.0,Yes,"Instagram, Google Search, Friend Referral","None, Late Delivery"
56,23,Male,Chennai,₹20k–40k,Thai,Fruit Fizz,Rum Punch,Frequently,5,1174.0,Yes,"Friend Referral, Instagram","None, High Price"
57,59,Other,Mumbai,₹20k–40k,"Indian, Continental",Spicy Guava,Gin & Tonic,Occasionally,2,973.0,Yes,"Friend Referral, Zomato, Swiggy Ads",Wrong Order
58,21,Female,Bangalore,₹40k–60k,"Indian, Mexican, Continental",Fruit Fizz,Margarita,Occasionally,1,1170.0,Yes,"Swiggy Ads, Instagram",Late Delivery
59,46,Other,Chennai,<₹20k,"Continental, Chinese, Italian",Virgin Mojito,Rum Punch,Occasionally,2,1076.0,Yes,Friend Referral,Small Portion
60,35,Other,Bangalore,<₹20k,"Indian, Chinese",Virgin Mojito,Whiskey Sour,Rarely,1,884.0,Yes,"Swiggy Ads, Instagram","None, Wrong Order"
61,43,Other,Mumbai,<₹20k,Continental,Minty Lime,Rum Punch,Occasionally,3,724.0,Yes,"Zomato, Swiggy Ads","Late Delivery, Wrong Order"
62,51,Male,Mumbai,₹20k–40k,Indian,Fruit Fizz,Whiskey Sour,Frequently,4,1214.0,No,Swiggy Ads,Late Delivery
63,27,Other,Chennai,<₹20k,"Indian, Thai",Fruit Fizz,Whiskey Sour,Rarely,2,742.0,Yes,"Zomato, Instagram","High Price, Wrong Order"
64,53,Male,Mumbai,₹80k+,Mexican,Virgin Mojito,Rum Punch,Frequently,5,1112.0,Yes,Swiggy Ads,Wrong Order
65,31,Male,Hyderabad,₹60k–80k,"Indian, Chinese, Continental",Fruit Fizz,Rum Punch,Frequently,3,1184.0,No,Instagram,"Late Delivery, High Price"
66,48,Male,Delhi,₹20k–40k,"Thai, Indian, Continental",Virgin Mojito,Whiskey Sour,Rarely,1,975.0,Yes,"Google Search, Friend Referral, Zomato",Late Delivery
67,32,Female,Chennai,₹40k–60k,"Mexican, Thai, Continental",Fruit Fizz,Gin & Tonic,Frequently,2,939.0,Yes,"Google Search, Instagram","None, Late Delivery"
68,25,Male,Bangalore,₹40k–60k,"Continental, Thai",Fruit Fizz,Gin & Tonic,Frequently,1,803.0,Yes,"Swiggy Ads, Google Search",High Price
69,31,Male,Hyderabad,₹60k–80k,"Mexican, Chinese",Fruit Fizz,Rum Punch,Rarely,1,1093.0,Yes,"Friend Referral, Zomato, Swiggy Ads",None
70,40,Female,Chennai,₹20k–40k,"Mexican, Thai, Italian",Virgin Mojito,Margarita,Frequently,1,500.0,Yes,"Instagram, Friend Referral, Zomato","High Price, Wrong Order"
71,57,Male,Mumbai,<₹20k,"Continental, Mexican",Minty Lime,Gin & Tonic,Occasionally,4,1143.0,Yes,Google Search,"None, High Price"
72,38,Other,Mumbai,<₹20k,"Chinese, Mexican",Fruit Fizz,Rum Punch,Frequently,4,1024.0,Yes,"Friend Referral, Google Search, Swiggy Ads",Late Delivery
73,33,Other,Mumbai,₹80k+,"Italian, Chinese, Thai",Virgin Mojito,Gin & Tonic,Occasionally,5,955.0,Yes,"Instagram, Google Search, Friend Referral","Small Portion, Late Delivery"
74,35,Male,Mumbai,₹80k+,"Continental, Chinese",Virgin Mojito,Margarita,Frequently,2,1048.0,Yes,Swiggy Ads,Late Delivery
75,41,Female,Bangalore,<₹20k,"Italian, Chinese",Fruit Fizz,Rum Punch,Rarely,3,725.0,Yes,"Instagram, Swiggy Ads","Small Portion, Late Delivery"
76,43,Other,Hyderabad,₹40k–60k,"Continental, Indian",Fruit Fizz,Margarita,Rarely,3,517.0,No,"Zomato, Instagram, Friend Referral",Small Portion
77,42,Female,Delhi,₹40k–60k,"Italian, Chinese",Minty Lime,Rum Punch,Frequently,3,1094.0,No,Friend Referral,"None, Late Delivery"
78,58,Female,Bangalore,₹80k+,Mexican,Virgin Mojito,Margarita,Rarely,1,1263.0,No,"Swiggy Ads, Zomato",None
79,46,Other,Bangalore,₹60k–80k,"Continental, Thai",Virgin Mojito,Gin & Tonic,Frequently,4,652.0,Yes,"Google Search, Instagram, Swiggy Ads","Small Portion, None"
80,32,Female,Delhi,<₹20k,Mexican,Spicy Guava,Gin & Tonic,Rarely,2,790.0,Yes,"Swiggy Ads, Friend Referral, Instagram","Late Delivery, Wrong Order"
81,18,Other,Delhi,₹80k+,Continental,Virgin Mojito,Margarita,Occasionally,1,1150.0,Yes,Instagram,"None, High Price"
82,42,Female,Mumbai,₹80k+,"Chinese, Mexican",Minty Lime,Margarita,Frequently,4,1072.0,Yes,"Instagram, Swiggy Ads",Wrong Order
83,24,Other,Bangalore,<₹20k,"Mexican, Continental",Spicy Guava,Margarita,Occasionally,4,1500.0,Yes,"Google Search, Instagram",None
84,26,Male,Chennai,<₹20k,"Mexican, Continental, Thai",Spicy Guava,Rum Punch,Occasionally,2,1215.0,Yes,"Swiggy Ads, Instagram, Friend Referral","High Price, None"
85,41,Other,Delhi,₹40k–60k,"Italian, Continental",Spicy Guava,Gin & Tonic,Frequently,2,1167.0,Yes,"Google Search, Friend Referral, Swiggy Ads",Late Delivery
86,18,Other,Delhi,₹60k–80k,"Continental, Mexican",Fruit Fizz,Rum Punch,Occasionally,2,847.0,Yes,"Zomato, Friend Referral",Small Portion
87,25,Other,Hyderabad,₹60k–80k,Continental,Fruit Fizz,Gin & Tonic,Frequently,1,1105.0,No,"Friend Referral, Zomato, Google Search","Small Portion, None"
88,41,Other,Chennai,<₹20k,"Chinese, Continental, Thai",Virgin Mojito,Whiskey Sour,Occasionally,5,1299.0,Yes,Swiggy Ads,High Price
89,28,Female,Chennai,₹20k–40k,"Chinese, Thai, Continental",Spicy Guava,Rum Punch,Frequently,2,967.0,Yes,"Instagram, Zomato, Friend Referral","Late Delivery, Wrong Order"
90,34,Male,Delhi,₹80k+,"Continental, Thai, Italian",Minty Lime,Gin & Tonic,Frequently,5,977.0,Yes,Friend Referral,High Price
91,25,Other,Mumbai,₹80k+,"Thai, Mexican",Fruit Fizz,Gin & Tonic,Rarely,1,1028.0,Yes,"Instagram, Friend Referral, Google Search",Late Delivery
92,52,Female,Hyderabad,<₹20k,"Continental, Italian",Minty Lime,Rum Punch,Frequently,5,867.0,Yes,"Swiggy Ads, Google Search","Wrong Order, Small Portion"
93,52,Male,Chennai,₹20k–40k,Mexican,Minty Lime,Rum Punch,Frequently,3,1054.0,Yes,"Friend Referral, Google Search, Swiggy Ads","High Price, Wrong Order"
94,50,Male,Delhi,₹40k–60k,Mexican,Fruit Fizz,Gin & Tonic,Occasionally,5,1049.0,Yes,"Friend Referral, Instagram","Wrong Order, High Price"
95,22,Male,Chennai,<₹20k,Thai,Fruit Fizz,Rum Punch,Frequently,2,1296.0,No,Zomato,Small Portion
96,59,Male,Hyderabad,<₹20k,"Mexican, Italian, Continental",Fruit Fizz,Margarita,Rarely,1,962.0,No,"Friend Referral, Google Search, Zomato","Wrong Order, Late Delivery"
97,56,Other,Hyderabad,₹80k+,Chinese,Fruit Fizz,Rum Punch,Occasionally,2,1135.0,No,"Swiggy Ads, Zomato, Instagram",None
98,58,Other,Bangalore,<₹20k,Italian,Spicy Guava,Rum Punch,Occasionally,3,968.0,No,Google Search,Wrong Order
99,45,Female,Delhi,<₹20k,"Chinese, Mexican, Thai",Spicy Guava,Rum Punch,Rarely,2,1128.0,Yes,"Instagram, Zomato",High Price
100,24,Female,Hyderabad,<₹20k,Mexican,Spicy Guava,Gin & Tonic,Occasionally,2,950.0,Yes,Zomato,"Late Delivery, None"
101,26,Female,Bangalore,₹80k+,Continental,Spicy Guava,Margarita,Occasionally,2,1115.0,Yes,"Zomato, Friend Referral",Late Delivery
102,25,Male,Bangalore,₹40k–60k,Mexican,Virgin Mojito,Whiskey Sour,Occasionally,4,1146.0,Yes,"Google Search, Swiggy Ads",Small Portion
103,29,Male,Chennai,₹40k–60k,"Continental, Chinese, Italian",Spicy Guava,Whiskey Sour,Occasionally,3,787.0,Yes,Friend Referral,High Price
104,51,Other,Chennai,<₹20k,"Continental, Thai, Chinese",Fruit Fizz,Margarita,Rarely,2,1220.0,No,"Friend Referral, Google Search",Late Delivery
105,50,Male,Bangalore,₹80k+,"Mexican, Thai, Chinese",Minty Lime,Margarita,Rarely,2,967.0,Yes,"Swiggy Ads, Friend Referral","None, High Price"
106,40,Male,Chennai,₹40k–60k,Mexican,Spicy Guava,Margarita,Occasionally,2,906.0,Yes,"Friend Referral, Instagram",Late Delivery
107,41,Male,Hyderabad,₹40k–60k,"Mexican, Chinese",Virgin Mojito,Gin & Tonic,Occasionally,1,858.0,Yes,"Instagram, Zomato, Friend Referral",Late Delivery
108,54,Female,Mumbai,₹40k–60k,"Chinese, Mexican, Italian",Fruit Fizz,Whiskey Sour,Rarely,4,1060.0,No,"Zomato, Google Search",Small Portion
109,52,Female,Hyderabad,₹80k+,"Thai, Continental, Indian",Minty Lime,Margarita,Rarely,1,999.0,Yes,"Swiggy Ads, Instagram","Small Portion, Wrong Order"
110,57,Other,Bangalore,₹80k+,"Indian, Continental, Thai",Minty Lime,Gin & Tonic,Rarely,4,1074.0,No,Instagram,None
111,39,Male,Bangalore,<₹20k,Indian,Spicy Guava,Whiskey Sour,Occasionally,2,1078.0,No,"Friend Referral, Swiggy Ads",High Price
112,44,Male,Hyderabad,₹60k–80k,Italian,Minty Lime,Rum Punch,Occasionally,3,1122.0,No,"Google Search, Friend Referral","Small Portion, High Price"
113,52,Other,Chennai,₹40k–60k,Italian,Spicy Guava,Gin & Tonic,Frequently,5,1500.0,No,"Swiggy Ads, Instagram","High Price, Wrong Order"
114,18,Male,Chennai,₹60k–80k,"Chinese, Continental",Spicy Guava,Whiskey Sour,Rarely,5,1008.0,No,"Google Search, Instagram, Friend Referral",Wrong Order
115,52,Male,Bangalore,₹80k+,Italian,Fruit Fizz,Gin & Tonic,Occasionally,2,853.0,Yes,"Instagram, Google Search, Swiggy Ads","High Price, Wrong Order"
116,54,Female,Delhi,₹80k+,Italian,Fruit Fizz,Whiskey Sour,Rarely,1,596.0,Yes,Friend Referral,"Late Delivery, Wrong Order"
117,31,Other,Chennai,₹80k+,"Italian, Thai, Mexican",Virgin Mojito,Whiskey Sour,Occasionally,3,761.0,Yes,Google Search,Small Portion
118,20,Other,Hyderabad,₹60k–80k,"Italian, Chinese",Fruit Fizz,Rum Punch,Rarely,4,1247.0,Yes,Swiggy Ads,Late Delivery
119,18,Other,Chennai,₹80k+,"Italian, Indian",Fruit Fizz,Gin & Tonic,Occasionally,2,1144.0,No,"Swiggy Ads, Google Search",Small Portion
120,22,Other,Hyderabad,<₹20k,"Chinese, Continental, Thai",Spicy Guava,Margarita,Frequently,3,730.0,Yes,"Instagram, Zomato, Google Search","High Price, Wrong Order"
121,43,Female,Bangalore,₹80k+,"Indian, Thai",Fruit Fizz,Rum Punch,Frequently,3,1493.0,No,Friend Referral,High Price
122,31,Female,Chennai,₹20k–40k,"Mexican, Chinese, Continental",Spicy Guava,Rum Punch,Rarely,4,1065.0,Yes,Instagram,"Small Portion, Late Delivery"
123,56,Male,Hyderabad,₹60k–80k,"Italian, Chinese, Indian",Spicy Guava,Whiskey Sour,Occasionally,3,1092.0,Yes,Swiggy Ads,Late Delivery
124,44,Male,Bangalore,₹20k–40k,"Chinese, Mexican, Indian",Fruit Fizz,Margarita,Occasionally,1,1449.0,No,"Swiggy Ads, Zomato","Late Delivery, None"
125,26,Male,Delhi,₹80k+,Chinese,Virgin Mojito,Gin & Tonic,Rarely,1,1348.0,Yes,"Instagram, Swiggy Ads, Google Search","Wrong Order, None"
126,32,Male,Hyderabad,<₹20k,"Mexican, Continental",Virgin Mojito,Margarita,Occasionally,1,1156.0,Yes,Friend Referral,Wrong Order
127,32,Female,Delhi,₹40k–60k,"Chinese, Indian",Minty Lime,Margarita,Rarely,3,1166.0,Yes,"Instagram, Friend Referral, Zomato",Small Portion
128,43,Other,Delhi,₹80k+,"Continental, Italian, Mexican",Minty Lime,Margarita,Occasionally,1,1185.0,Yes,Friend Referral,Late Delivery
129,59,Female,Mumbai,<₹20k,"Thai, Chinese, Mexican",Fruit Fizz,Margarita,Rarely,4,952.0,Yes,"Google Search, Friend Referral",Late Delivery
130,30,Male,Chennai,₹60k–80k,Mexican,Virgin Mojito,Margarita,Occasionally,3,1057.0,Yes,Zomato,"None, Late Delivery"
131,49,Female,Hyderabad,₹20k–40k,"Thai, Italian, Continental",Spicy Guava,Whiskey Sour,Rarely,5,1115.0,Yes,Instagram,"Late Delivery, High Price"
132,56,Other,Delhi,₹20k–40k,Italian,Minty Lime,Whiskey Sour,Occasionally,3,975.0,No,Swiggy Ads,Small Portion
133,49,Other,Mumbai,₹20k–40k,Chinese,Spicy Guava,Rum Punch,Frequently,4,807.0,No,"Zomato, Google Search, Friend Referral",Late Delivery
134,21,Female,Bangalore,₹60k–80k,Thai,Minty Lime,Whiskey Sour,Occasionally,5,947.0,Yes,Zomato,"Wrong Order, High Price"
135,47,Female,Hyderabad,<₹20k,"Continental, Mexican",Fruit Fizz,Rum Punch,Rarely,3,802.0,Yes,"Zomato, Instagram, Swiggy Ads","None, Late Delivery"
136,54,Female,Delhi,₹60k–80k,Indian,Virgin Mojito,Rum Punch,Frequently,1,1013.0,No,Friend Referral,"None, Small Portion"
137,40,Male,Chennai,₹20k–40k,"Chinese, Italian, Thai",Minty Lime,Gin & Tonic,Occasionally,2,644.0,Yes,Instagram,"Wrong Order, Late Delivery"
138,56,Female,Mumbai,₹80k+,"Indian, Italian, Mexican",Virgin Mojito,Margarita,Frequently,2,1068.0,Yes,"Instagram, Google Search, Friend Referral","None, Late Delivery"
139,32,Female,Delhi,₹40k–60k,Thai,Spicy Guava,Whiskey Sour,Occasionally,1,674.0,Yes,Swiggy Ads,High Price
140,46,Female,Chennai,₹60k–80k,"Mexican, Chinese, Italian",Fruit Fizz,Gin & Tonic,Frequently,2,919.0,No,Swiggy Ads,Small Portion
141,53,Other,Delhi,₹60k–80k,"Chinese, Thai",Virgin Mojito,Whiskey Sour,Rarely,2,1101.0,Yes,"Instagram, Friend Referral, Google Search",Late Delivery
142,30,Other,Hyderabad,<₹20k,"Thai, Indian",Fruit Fizz,Rum Punch,Occasionally,1,1158.0,Yes,"Google Search, Zomato","None, Wrong Order"
143,49,Male,Hyderabad,<₹20k,"Italian, Chinese",Virgin Mojito,Whiskey Sour,Occasionally,1,1134.0,Yes,"Zomato, Google Search, Swiggy Ads","Wrong Order, High Price"
144,24,Male,Hyderabad,₹60k–80k,Continental,Spicy Guava,Margarita,Rarely,3,1064.0,Yes,"Swiggy Ads, Instagram","High Price, Late Delivery"
145,39,Other,Mumbai,₹20k–40k,Continental,Spicy Guava,Rum Punch,Frequently,3,776.0,Yes,"Zomato, Instagram, Google Search",None
146,45,Other,Hyderabad,₹40k–60k,"Italian, Mexican",Fruit Fizz,Rum Punch,Rarely,1,1196.0,Yes,"Friend Referral, Zomato, Swiggy Ads",Wrong Order
147,19,Other,Chennai,<₹20k,"Italian, Indian",Spicy Guava,Gin & Tonic,Rarely,4,781.0,No,"Google Search, Friend Referral, Instagram","Wrong Order, Late Delivery"
148,59,Female,Delhi,₹20k–40k,"Continental, Mexican",Minty Lime,Margarita,Frequently,2,1219.0,No,Google Search,Wrong Order
149,23,Female,Bangalore,₹80k+,"Indian, Italian, Continental",Virgin Mojito,Rum Punch,Rarely,3,1126.0,Yes,"Instagram, Swiggy Ads, Google Search",None
150,45,Other,Chennai,<₹20k,Thai,Spicy Guava,Margarita,Occasionally,2,1272.0,Yes,"Swiggy Ads, Google Search, Instagram","None, Wrong Order"
151,45,Female,Chennai,₹20k–40k,Continental,Minty Lime,Whiskey Sour,Occasionally,5,1005.0,Yes,"Google Search, Friend Referral, Instagram",Wrong Order
152,37,Female,Hyderabad,₹20k–40k,"Indian, Italian, Mexican",Fruit Fizz,Margarita,Occasionally,1,836.0,No,"Swiggy Ads, Zomato",Late Delivery
153,47,Male,Mumbai,₹40k–60k,Mexican,Minty Lime,Rum Punch,Rarely,4,741.0,No,"Instagram, Friend Referral","Late Delivery, High Price"
154,28,Other,Delhi,₹40k–60k,"Mexican, Indian",Fruit Fizz,Gin & Tonic,Occasionally,5,764.0,Yes,"Friend Referral, Swiggy Ads","Small Portion, High Price"
155,45,Other,Mumbai,₹80k+,"Continental, Italian, Mexican",Fruit Fizz,Rum Punch,Occasionally,5,673.0,Yes,"Friend Referral, Swiggy Ads, Google Search",Wrong Order
156,42,Female,Delhi,₹20k–40k,"Italian, Thai",Virgin Mojito,Margarita,Occasionally,5,1188.0,No,"Swiggy Ads, Friend Referral, Instagram",Late Delivery
157,56,Other,Delhi,₹20k–40k,"Mexican, Italian",Virgin Mojito,Margarita,Occasionally,1,1213.0,Yes,Zomato,"High Price, Wrong Order"
158,50,Male,Mumbai,₹40k–60k,Italian,Minty Lime,Rum Punch,Occasionally,3,1111.0,Yes,"Google Search, Swiggy Ads",Wrong Order
159,18,Male,Chennai,<₹20k,"Italian, Thai, Chinese",Virgin Mojito,Margarita,Occasionally,1,993.0,Yes,"Instagram, Swiggy Ads",Wrong Order
160,44,Male,Delhi,<₹20k,"Italian, Continental",Virgin Mojito,Whiskey Sour,Rarely,3,1412.0,Yes,"Instagram, Google Search",Wrong Order
161,30,Other,Mumbai,₹60k–80k,Mexican,Virgin Mojito,Rum Punch,Occasionally,5,980.0,Yes,Swiggy Ads,High Price
162,58,Other,Delhi,₹40k–60k,"Indian, Italian, Continental",Minty Lime,Gin & Tonic,Occasionally,5,1044.0,No,"Zomato, Instagram, Friend Referral",Wrong Order
163,20,Other,Bangalore,₹60k–80k,Chinese,Spicy Guava,Rum Punch,Frequently,4,990.0,Yes,"Instagram, Google Search, Swiggy Ads",Wrong Order
164,56,Other,Chennai,₹40k–60k,Chinese,Virgin Mojito,Whiskey Sour,Rarely,3,932.0,Yes,"Zomato, Swiggy Ads","Small Portion, High Price"
165,23,Other,Hyderabad,₹80k+,Chinese,Virgin Mojito,Whiskey Sour,Rarely,5,1126.0,Yes,"Instagram, Swiggy Ads",Late Delivery
166,25,Male,Delhi,₹20k–40k,"Indian, Chinese",Minty Lime,Whiskey Sour,Rarely,2,873.0,Yes,Friend Referral,High Price
167,44,Female,Bangalore,₹80k+,"Chinese, Indian, Thai",Spicy Guava,Whiskey Sour,Rarely,4,860.0,Yes,"Instagram, Swiggy Ads",Late Delivery
168,26,Male,Hyderabad,₹40k–60k,Continental,Virgin Mojito,Whiskey Sour,Occasionally,1,1136.0,Yes,Instagram,None
169,54,Other,Hyderabad,₹20k–40k,Continental,Fruit Fizz,Gin & Tonic,Occasionally,4,900.0,No,"Friend Referral, Google Search, Swiggy Ads",Small Portion
